Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1692310665.8319197,-0.0007539581818176931,-0.0002270495076507906,5.166618080158997e-06,0.0,0.0,0.0
1692310665.9158726,-0.0007545929554095145,-0.00022692749004076998,5.167033868181899e-06,0.0,0.0,0.0
1692310666.0013175,-0.0007508958779691194,-0.00022664087619976266,5.154255567962372e-06,0.0,0.0,0.0
1692310666.0611432,-0.0007520420387646556,-0.00022645943443187603,5.149340511918184e-06,0.0,0.0,0.0
1692310666.1294768,-0.0007529967907073374,-0.00022635611416955623,5.146332805599544e-06,0.0,0.0,0.0
1692310666.198716,-0.0007537920990755914,-0.00022630994238344857,5.142117505449933e-06,0.0,0.0,0.0
1692310666.2630084,-0.0007586804132190621,-0.00022651631923531604,5.1443192267918175e-06,0.0,0.0,0.0
1692310666.4242983,-0.0007627523789005918,-0.00022689215745367192,5.151957997579087e-06,0.0,0.0,0.0
1692310666.532416,-0.0007576926503017071,-0.00022695194255113727,5.14642043340553e-06,0.0,0.0,0.0
1692310666.6613388,-0.0007577037637980861,-0.00022700210273578613,5.150541350856383e-06,0.0,0.0,0.0
1692310666.7412171,-0.0007577130213405604,-0.00022704435870705557,5.1535954081724105e-06,0.0,0.0,0.0
1692310666.8162162,-0.0007577207328734415,-0.00022707994417902694,5.156148222974191e-06,0.0,0.0,0.0
1692310666.8760233,-0.0007535013068872567,-0.00022689825432650323,5.153202580412456e-06,0.0,0.0,0.0
1692310666.9773242,-0.0007584381901314132,-0.00022699426960448913,5.152448734301909e-06,0.0,0.0,0.0
1692310667.0992007,-0.000758324754188568,-0.00022706834517223905,5.161509327614653e-06,0.0,0.0,0.0
1692310667.1959589,-0.0007582302620481409,-0.00022712537598402127,5.166381416245349e-06,0.0,0.0,0.0
1692310667.2806568,-0.0007581515500951745,-0.0002271691560002724,5.160843623263493e-06,0.0,0.0,0.0
1692310667.3665051,-0.0007580859762360119,-0.00022720215531876287,5.1643136062345225e-06,0.0,0.0,0.0
1692310667.554378,-0.000753805530956098,-0.00022701544008410567,5.153897062504315e-06,0.0,0.0,0.0
1692310667.6284707,-0.0007544657439369911,-0.00022689289194212676,5.149618905676116e-06,0.0,0.0,0.0
1692310667.6890228,-0.000755015701350075,-0.0002268185510123218,5.1379923998579925e-06,0.0,0.0,0.0
1692310667.8222678,-0.0007554738158751738,-0.00022677957078239995,5.128822272681227e-06,0.0,0.0,0.0
1692310667.9499743,-0.0007600812616492048,-0.00022697775614939847,5.131652037097709e-06,0.0,0.0,0.0
1692310668.0432289,-0.0007554675947630128,-0.00022691143994995374,5.142799877614908e-06,0.0,0.0,0.0
1692310668.0995517,-0.0007558502305151388,-0.0002268756215407997,5.141207611718654e-06,0.0,0.0,0.0
1692310668.198705,-0.0007561689660966599,-0.00022686174936630964,5.140242751465392e-06,0.0,0.0,0.0
1692310668.313728,-0.0007564344687092539,-0.0002268635150114218,5.138728478402916e-06,0.0,0.0,0.0
1692310668.4445002,-0.0007524297783049928,-0.00022666438907547066,5.133506172418597e-06,0.0,0.0,0.0
1692310668.597159,-0.0007575455444544031,-0.0002267547481906019,5.135098680682767e-06,0.0,0.0,0.0
1692310668.7213197,-0.0007533552546887738,-0.00022662029794880159,5.124560077005916e-06,0.0,0.0,0.0
1692310668.8138762,-0.0007583164479846687,-0.000226756718690339,5.124711496254122e-06,0.0,0.0,0.0
1692310668.8976326,-0.0007582232702244133,-0.0002268655397741853,5.131379273653218e-06,0.0,0.0,0.0
1692310668.985935,-0.0007539198203097484,-0.00022674087378582808,5.121702948752907e-06,0.0,0.0,0.0
1692310669.0611026,-0.0007545609053563638,-0.00022666901085310475,5.119979915969201e-06,0.0,0.0,0.0
1692310669.1525838,-0.000755094929200213,-0.0002266358726542073,5.120217301888158e-06,0.0,0.0,0.0
1692310669.2338812,-0.0007513139012307321,-0.00022641898062769446,5.112002044807798e-06,0.0,0.0,0.0
1692310669.344926,-0.0007566160028889811,-0.00022650369522577533,5.119202055486018e-06,0.0,0.0,0.0
1692310669.4406922,-0.0007610326535702935,-0.00022679554669720282,5.1272669149348864e-06,0.0,0.0,0.0
1692310669.5569377,-0.000760485871808846,-0.0002270115974850866,5.118876179027171e-06,0.0,0.0,0.0
1692310669.6162078,-0.0007600304026015696,-0.00022716837039054165,5.1284601421545324e-06,0.0,0.0,0.0
1692310669.6736736,-0.0007596509967519083,-0.00022727995888659216,5.136012058355792e-06,0.0,0.0,0.0
1692310669.7696369,-0.0007593349129695655,-0.0002273573033314737,5.1320689052819685e-06,0.0,0.0,0.0
1692310669.863366,-0.0007590716151788831,-0.00022740848955897543,5.130881415523301e-06,0.0,0.0,0.0
1692310670.018761,-0.0007588522730632403,-0.00022744000456523475,5.135703338527673e-06,0.0,0.0,0.0
1692310670.128449,-0.0007544437163635536,-0.00022724560555954914,5.127584943563552e-06,0.0,0.0,0.0
1692310670.2384691,-0.0007507713964640199,-0.00022689955757258646,5.124517884425855e-06,0.0,0.0,0.0
1692310670.320839,-0.0007519381799445861,-0.0002266699801560647,5.112656786261373e-06,0.0,0.0,0.0
1692310670.3913288,-0.0007529101105838885,-0.0002265273452381687,5.1073604622860154e-06,0.0,0.0,0.0
1692310670.463154,-0.0007537197288064273,-0.00022644893426559392,5.110399992879734e-06,0.0,0.0,0.0
1692310670.5726688,-0.0007501682945368894,-0.00022620562668894113,5.113740684892565e-06,0.0,0.0,0.0
1692310670.7681694,-0.0007514358110952817,-0.00022606664779425192,5.108701039073311e-06,0.0,0.0,0.0
1692310670.9395516,-0.00074826582463061,-0.00022579192242637897,5.108864935528878e-06,0.0,0.0,0.0
1692310671.0949748,-0.0007456251902948232,-0.00022543105231137626,5.095488775009025e-06,0.0,0.0,0.0
1692310671.235202,-0.0007434255856790175,-0.00022502005633549224,5.091544522933629e-06,0.0,0.0,0.0
1692310671.3108106,-0.0007415933150340514,-0.00022458616030496815,5.075703470252383e-06,0.0,0.0,0.0
1692310671.3838887,-0.0007400670328197185,-0.0002241480544915737,5.070657218049977e-06,0.0,0.0,0.0
1692310671.4810922,-0.0007472473205818188,-0.00022414297463007118,5.064771579977782e-06,0.0,0.0,0.0
1692310671.5750792,-0.0007447767839095736,-0.0002240149270104141,5.060350802608335e-06,0.0,0.0,0.0
1692310671.6715803,-0.0007511705197292601,-0.00022422842870175664,5.0674025206637255e-06,0.0,0.0,0.0
1692310671.768182,-0.0007480448081906908,-0.00022424979399472288,5.066351504999751e-06,0.0,0.0,0.0
1692310671.8840947,-0.0007454410763778034,-0.00022413709600457805,5.066138938933125e-06,0.0,0.0,0.0
1692310672.023132,-0.000747497992361559,-0.0002241462411191765,5.068406911546259e-06,0.0,0.0,0.0
1692310672.1653616,-0.0007534372163643915,-0.0002244513593865289,5.0760818972522035e-06,0.0,0.0,0.0
1692310672.3172195,-0.00074993287963108,-0.00022452998067184219,5.0793818654197275e-06,0.0,0.0,0.0
1692310672.433369,-0.000755465448574696,-0.00022487268781889172,5.083760812832247e-06,0.0,0.0,0.0
1692310672.5381532,-0.0007600740785047096,-0.00022538898979048788,5.092913685828296e-06,0.0,0.0,0.0
