Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1692310665.7035408,-0.00022810090350064373,-6.84149581658814e-05,-1.4475797722027477e-06,0.0,0.0,0.0
1692310665.845703,-0.00022810090350063917,-6.841495497926141e-05,-1.4477307893475833e-06,0.0,0.0,0.0
1692310665.9048584,-0.00022810090350064465,-6.841494418672732e-05,-1.4482406601601871e-06,0.0,0.0,0.0
1692310666.0013297,-0.00022810090350063993,-6.841493770843839e-05,-1.448546899789052e-06,0.0,0.0,0.0
1692310666.1035652,-0.00022810090350062676,-6.841493808235511e-05,-1.448529598292232e-06,0.0,0.0,0.0
1692310666.2123687,-0.00022810090350062503,-6.841495500552102e-05,-1.4477292816700176e-06,0.0,0.0,0.0
1692310666.30113,-0.00022810090350062362,-6.84149375318349e-05,-1.4485540573467686e-06,0.0,0.0,0.0
1692310666.415673,-0.0002281009035006317,-6.841493681107334e-05,-1.4485886531708555e-06,0.0,0.0,0.0
1692310666.511642,-0.00022810090350062915,-6.841493424825944e-05,-1.448710125185269e-06,0.0,0.0,0.0
1692310666.6061301,-0.00022810090350062703,-6.84149365842439e-05,-1.4486001748530869e-06,0.0,0.0,0.0
1692310666.7319381,-0.00022810090350061597,-6.841492348845155e-05,-1.4492182062539722e-06,0.0,0.0,0.0
1692310666.8100226,-0.00022810090350060676,-6.84148962472039e-05,-1.4505011969922364e-06,0.0,0.0,0.0
1692310666.9121623,-0.00022810090350060838,-6.841490576573336e-05,-1.4500526191464432e-06,0.0,0.0,0.0
1692310667.0054705,-0.00022810090350063755,-6.841491571112757e-05,-1.449583649458008e-06,0.0,0.0,0.0
1692310667.1052945,-0.00022810090350063402,-6.841491517206453e-05,-1.44960975137514e-06,0.0,0.0,0.0
1692310667.202745,-0.00022810090350064037,-6.841491789702908e-05,-1.449481662963851e-06,0.0,0.0,0.0
1692310667.3043752,-0.00022810090350065492,-6.84149152895977e-05,-1.449605165110697e-06,0.0,0.0,0.0
1692310667.40409,-0.00022810090350065777,-6.841491337737547e-05,-1.4496957874062194e-06,0.0,0.0,0.0
1692310667.5032413,-0.0002281009035006416,-6.84149264866238e-05,-1.4490766637991722e-06,0.0,0.0,0.0
1692310667.6009734,-0.00022810090350062817,-6.84148959598638e-05,-1.4505140295841758e-06,0.0,0.0,0.0
1692310667.7020254,-0.00022810090350062622,-6.841489288573062e-05,-1.4506598927108594e-06,0.0,0.0,0.0
1692310667.8008442,-0.0002281009035006246,-6.841486631596991e-05,-1.451910491925976e-06,0.0,0.0,0.0
1692310667.9002476,-0.0002281009035006325,-6.841487339106509e-05,-1.451577967804983e-06,0.0,0.0,0.0
1692310668.026441,-0.00022810090350062985,-6.841486613380555e-05,-1.4519207071369924e-06,0.0,0.0,0.0
