Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1692309238.955499,0.0003212869427162374,-0.0005559826380460335,-1.877755804147135e-05,-0.0005183164095918947,0.0,0.0
1692309239.042573,0.00033419672396145836,-0.0005401157821839397,-1.826895765986097e-05,-0.0005113694073975892,0.0,0.0
1692309239.1445994,0.0003449505717387367,-0.0005255185516429394,-1.7800213292626507e-05,-0.000504713777094237,0.0,0.0
1692309239.2382708,0.00034968409372287425,-0.000512747950757931,-1.7391008315714884e-05,-0.0005017627790382999,0.0,0.0
1692309239.3381565,0.00035785155527264434,-0.0005006664991339003,-1.699932021975634e-05,-0.0004943385891927067,0.0,0.0
1692309239.4431694,0.0003646550507436121,-0.0004892606222378512,-1.6623990415082568e-05,-0.00048731767637666434,0.0,0.0
1692309239.543538,0.0003703223624709097,-0.000478490034542417,-1.6271870799905173e-05,-0.0004805623853468578,0.0,0.0
1692309239.6416314,0.00037504323313976713,-0.0004683017385438372,-1.59333263399408e-05,-0.0004739817050128084,0.0,0.0
1692309239.7373075,0.0003789757184069254,-0.0004586372321841597,-1.5612772715706988e-05,-0.0004675159772041461,0.0,0.0
1692309239.839156,0.00038225147863445895,-0.0004494381984824786,-1.5307944547626455e-05,-0.00046112637635037097,0.0,0.0
1692309239.9454567,0.00038498018690401293,-0.0004406492913314259,-1.501242474773689e-05,-0.00045478792379763513,0.0,0.0
1692309240.045705,0.00038725320089254213,-0.00043221912950246156,-1.4730869378558103e-05,-0.0004484847808465855,0.0,0.0
1692309240.1375532,0.0003891466215449684,-0.0004241016762017877,-1.4457415047633041e-05,-0.0004422070049409034,0.0,0.0
1692309240.242219,0.00039072384094845805,-0.0004162557198570696,-1.419470681974579e-05,-0.0004359485100716423,0.0,0.0
1692309240.3408613,0.00039203766471155563,-0.0004086450991344778,-1.3941797797516595e-05,-0.0004297056097015419,0.0,0.0
1692309240.4392335,0.0003931320799062252,-0.00040123847698005435,-1.369053057154328e-05,-0.0004234761249773536,0.0,0.0
1692309240.5395916,0.00039826817119218555,-0.00039331383981680654,-1.3418934227947973e-05,-0.0004137314224533033,0.0,0.0
1692309240.641823,0.0004067710022494412,-0.00038446228438103567,-1.3103030859246981e-05,-0.00040152133960332165,0.0,0.0
1692309240.7416246,0.0004138538605201351,-0.0003751686476118959,-1.2782767188298811e-05,-0.0003910800353942027,0.0,0.0
1692309240.837165,0.000419753881459614,-0.0003657358782829812,-1.2449928153094914e-05,-0.00038183068261817693,0.0,0.0
1692309240.9439988,0.0004246685989022184,-0.00035634530574661015,-1.2120410245165886e-05,-0.0003733824638031076,0.0,0.0
1692309241.0423243,0.00042876255853190786,-0.0003470995497931691,-1.1811374579967996e-05,-0.00036547104187165916,0.0,0.0
1692309241.1403747,0.0004321728269034577,-0.0003380519261997945,-1.1505489945072849e-05,-0.00035791804025918437,0.0,0.0
1692309241.2375338,0.00043501358045694015,-0.00032922350129170093,-1.120184704265807e-05,-0.00035060362516948845,0.0,0.0
1692309241.3417149,0.0004373799281669911,-0.00032061577011618714,-1.0907296758540302e-05,-0.0003434475391058823,0.0,0.0
