Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14
1692309238.955499,"[label: ""height""
size: 3
stride: 15, label: ""width""
size: 5
stride: 5]",0,7.0,0.01271081157028675,0.07073229551315308,0.30276599526405334,0.03229925036430359,6.0,-0.025955680757761,0.07088375091552734,0.30952271819114685,-0.454276978969574,8.0,0.049269817769527435,0.07054183632135391,0.3120535910129547,0.6190959215164185
1692309239.0518544,"[label: ""height""
size: 3
stride: 15, label: ""width""
size: 5
stride: 5]",0,7.0,0.012700099498033524,0.07050035148859024,0.30130451917648315,0.08251089602708817,6.0,-0.025955680757761,0.07088375091552734,0.30952271819114685,-0.454276978969574,8.0,0.049269817769527435,0.07054183632135391,0.3120535910129547,0.6190959215164185
1692309239.1505308,"[label: ""height""
size: 3
stride: 15, label: ""width""
size: 5
stride: 5]",0,7.0,0.01271081157028675,0.07073229551315308,0.30276599526405334,0.03229925036430359,6.0,-0.025955680757761,0.07088375091552734,0.30952271819114685,-0.454276978969574,8.0,0.049269817769527435,0.07054183632135391,0.3120535910129547,0.6190959215164185
1692309239.2513025,"[label: ""height""
size: 3
stride: 15, label: ""width""
size: 5
stride: 5]",0,7.0,0.01271081157028675,0.07073229551315308,0.30276599526405334,0.03229925036430359,6.0,-0.025841124355793,0.07040859013795853,0.30806347727775574,-0.46294426918029785,8.0,0.04971437156200409,0.07106246799230576,0.3149280548095703,0.6089475750923157
1692309239.344668,"[label: ""height""
size: 3
stride: 15, label: ""width""
size: 5
stride: 5]",0,7.0,0.01271081157028675,0.07073229551315308,0.30276599526405334,0.03229925036430359,6.0,-0.025841124355793,0.07040859013795853,0.30806347727775574,-0.46294426918029785,8.0,0.04946053773164749,0.07106747478246689,0.3149533271789551,0.6096952557563782
1692309239.4452643,"[label: ""height""
size: 3
stride: 15, label: ""width""
size: 5
stride: 5]",0,7.0,0.01272999681532383,0.07010597735643387,0.29987818002700806,0.04867101460695267,6.0,-0.025914214551448822,0.07084773480892181,0.3105180859565735,-0.4624044895172119,8.0,0.04971437156200409,0.07106246799230576,0.3149280548095703,0.6089475750923157
1692309239.54541,"[label: ""height""
size: 3
stride: 15, label: ""width""
size: 5
stride: 5]",0,7.0,0.01272999681532383,0.07010597735643387,0.29987818002700806,0.04867101460695267,6.0,-0.025709761306643486,0.07119392603635788,0.31136569380760193,-0.42914125323295593,8.0,0.04971437156200409,0.07106246799230576,0.3149280548095703,0.6089475750923157
1692309239.6469123,"[label: ""height""
size: 3
stride: 15, label: ""width""
size: 5
stride: 5]",0,7.0,0.01271081157028675,0.07073229551315308,0.30276599526405334,0.03229925036430359,6.0,-0.025777481496334076,0.07073943316936493,0.3104778230190277,-0.45106273889541626,8.0,0.04971437156200409,0.07106246799230576,0.3149280548095703,0.6089475750923157
1692309239.74386,"[label: ""height""
size: 3
stride: 15, label: ""width""
size: 5
stride: 5]",0,7.0,0.01272999681532383,0.07010597735643387,0.29987818002700806,0.04867101460695267,6.0,-0.02592129446566105,0.0714041218161583,0.3123493492603302,-0.437471866607666,8.0,0.04971437156200409,0.07106246799230576,0.3149280548095703,0.6089475750923157
1692309239.8446927,"[label: ""height""
size: 3
stride: 15, label: ""width""
size: 5
stride: 5]",0,7.0,0.01272999681532383,0.07010597735643387,0.29987818002700806,0.04867101460695267,6.0,-0.025710739195346832,0.07065816968679428,0.30962589383125305,-0.4539974331855774,8.0,0.04971437156200409,0.07106246799230576,0.3149280548095703,0.6089475750923157
